Neuron 1,Neuron 2,Type,Nbr
ADAR,ADAL,EJ,1
ADFL,ADAL,EJ,1
ASHL,ADAL,EJ,1
AVDR,ADAL,EJ,2
ADEL,ADAL,Sp,1
ADFL,ADAL,Sp,1
AIAL,ADAL,Sp,1
AIBL,ADAL,R,1
AIBR,ADAL,Rp,2
ASHL,ADAL,Sp,1
AVAR,ADAL,Rp,2
AVBL,ADAL,Rp,4
AVBR,ADAL,R,2
AVBR,ADAL,Rp,5
AVDL,ADAL,Rp,1
AVEL,ADAL,Rp,1
AVJR,ADAL,Rp,5
AWAL,ADAL,S,1
FLPR,ADAL,Rp,1
RICL,ADAL,R,1
RICL,ADAL,Rp,1
RICR,ADAL,Rp,1
RIML,ADAL,Rp,3
RIPL,ADAL,Rp,1
RMGL,ADAL,Sp,1
SMDVR,ADAL,R,2
ADAL,ADAR,EJ,1
ADFR,ADAR,EJ,1
ASHR,ADAR,EJ,1
AVDL,ADAR,EJ,2
ADER,ADAR,Sp,1
ADFR,ADAR,Sp,1
AIAR,ADAR,Sp,1
AIBL,ADAR,Rp,1
AIBR,ADAR,Rp,1
ASHR,ADAR,Sp,2
AVAL,ADAR,Rp,1
AVBL,ADAR,R,1
AVBL,ADAR,Rp,1
AVBR,ADAR,Rp,5
AVEL,ADAR,Rp,1
AVJL,ADAR,R,1
AVJL,ADAR,Rp,2
RICL,ADAR,Rp,1
RICL,ADAR,Sp,1
RICR,ADAR,Sp,1
RIMR,ADAR,Rp,5
RIMR,ADAR,Sp,1
RIPR,ADAR,Rp,1
RIVR,ADAR,Rp,1
RMGR,ADAR,Sp,1
SMDVL,ADAR,R,2
URBR,ADAR,Sp,1
ADAL,ADEL,Rp,1
AINL,ADEL,EJ,1
AVKR,ADEL,EJ,1
ADER,ADEL,Rp,1
ADER,ADEL,Sp,2
ALA,ADEL,Sp,1
AVAL,ADEL,Rp,2
AVAR,ADEL,Rp,3
AVEL,ADEL,Rp,1
AVL,ADEL,R,1
BDUL,ADEL,Rp,1
BDUL,ADEL,S,3
CEPDL,ADEL,R,1
FLPL,ADEL,R,1
FLPL,ADEL,Rp,1
FLPL,ADEL,Sp,2
IL1L,ADEL,Rp,1
IL2L,ADEL,R,1
IL2L,ADEL,Rp,1
IL2L,ADEL,Sp,2
OLLL,ADEL,R,1
OLLL,ADEL,Rp,1
RIAL,ADEL,Rp,1
RIFL,ADEL,Rp,1
RIGL,ADEL,R,2
RIGL,ADEL,Rp,3
RIGR,ADEL,R,3
RIGR,ADEL,Rp,3
RIH,ADEL,Rp,2
RIVL,ADEL,Rp,1
RIVR,ADEL,Rp,1
RMDL,ADEL,R,2
RMDL,ADEL,Rp,2
RMGL,ADEL,R,1
RMHL,ADEL,Rp,1
SIADR,ADEL,Rp,1
SIBDR,ADEL,Rp,1
SMBDR,ADEL,Rp,1
URBL,ADEL,Rp,1
ADAR,ADER,Rp,1
ADEL,ADER,Rp,2
ADEL,ADER,Sp,1
AVKL,ADER,EJ,1
ALA,ADER,Rp,1
ALNR,ADER,S,1
AVAL,ADER,R,1
AVAL,ADER,Rp,4
AVAR,ADER,Rp,1
AVAR,ADER,Sp,1
AVDR,ADER,Rp,2
AVER,ADER,R,1
AVJR,ADER,Rp,1
AVKL,ADER,R,1
AVKL,ADER,Rp,1
AVKR,ADER,Rp,1
AVM,ADER,S,1
AVM,ADER,Sp,1
BDUR,ADER,S,1
CEPDR,ADER,R,1
FLPL,ADER,Rp,1
FLPL,ADER,Sp,2
FLPR,ADER,Rp,1
FLPR,ADER,S,1
FLPR,ADER,Sp,1
IL2R,ADER,S,1
IL2R,ADER,Sp,1
OLLR,ADER,Rp,2
RIGL,ADER,R,4
RIGL,ADER,Rp,3
RIGR,ADER,Rp,4
RIH,ADER,Rp,1
RMDR,ADER,Rp,2
SAAVR,ADER,R,1
ADAL,ADFL,Rp,1
ADAL,ADFL,EJ,1
AIZL,ADFL,R,5
AIZL,ADFL,Rp,7
ASHL,ADFL,Sp,3
AUAL,ADFL,R,1
AUAL,ADFL,Rp,4
AWBL,ADFL,S,1
AWBL,ADFL,Sp,8
OLQVL,ADFL,Rp,1
RIAL,ADFL,R,3
RIAL,ADFL,Rp,12
RIGL,ADFL,Rp,1
RIR,ADFL,Rp,2
SMBVL,ADFL,Rp,2
ADAR,ADFR,Rp,1
ADAR,ADFR,EJ,1
AIAR,ADFR,EJ,1
AIYR,ADFR,Rp,1
AIYR,ADFR,Sp,1
AIZR,ADFR,R,3
AIZR,ADFR,Rp,5
ASEL,ADFR,S,1
ASHR,ADFR,Rp,1
ASHR,ADFR,Sp,2
AUAR,ADFR,Rp,4
AVHL,ADFR,Sp,3
AWAR,ADFR,Sp,3
AWBR,ADFR,R,1
AWBR,ADFR,S,1
AWBR,ADFR,Sp,3
RIAR,ADFR,R,1
RIAR,ADFR,Rp,15
RIGR,ADFR,R,1
RIGR,ADFR,Rp,2
RIH,ADFR,Sp,1
RIR,ADFR,Rp,3
SMBDR,ADFR,Rp,1
SMBVR,ADFR,Rp,2
URXR,ADFR,R,1
ADLR,ADLL,EJ,1
AVDR,ADLL,EJ,1
OLQVL,ADLL,EJ,1
RMGL,ADLL,EJ,1
AIAL,ADLL,R,2
AIAL,ADLL,Rp,4
AIBL,ADLL,R,2
AIBL,ADLL,Rp,5
AIBR,ADLL,Rp,1
ALA,ADLL,R,2
